Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
TICAM2	2	0.050591	0.44466	0.46967	0.9387	0.65657	0.7623	0.0072742	0.063894	0.57452	0.95478	0.94905	0.97079	-0.030885	-0.27384	0.79653	0.98399	0.78421	0.85531	0.15146	1.3165	0.25702	0.86013	0.188	0.31398
RPS8	5	-0.85681	-10.054	0.02193	0.46829	8.79E-24	5.71E-22	-0.89661	-10.508	0.014421	0.4	7.96E-26	7.71E-24	-0.96197	-11.533	0.0086917	0.3892	8.95E-31	1.90E-28	-0.84443	-9.5301	0.015696	0.4595	1.57E-21	1.84E-19
CD40LG	4	0.058643	0.66893	0.44736	0.9387	0.50354	0.63559	0.12348	1.4158	0.25642	0.87449	0.15684	0.27339	0.0020037	0.023178	0.68507	0.97503	0.98151	0.98819	0.096539	1.0787	0.38156	0.91344	0.28074	0.42327
RNASE13	2	-0.033458	-0.27178	0.74237	0.981	0.78579	0.85957	-0.062875	-0.51065	0.82272	0.98426	0.60959	0.7309	-0.11808	-0.97184	0.90734	0.99209	0.33113	0.46474	-0.14363	-1.1279	0.83559	0.98967	0.25935	0.39986
PER2	4	-0.25914	-2.8333	0.54716	0.94799	0.0046069	0.015507	-0.24826	-2.7217	0.56895	0.9528	0.0064955	0.021433	-0.35531	-3.9447	0.30598	0.89246	7.99E-05	0.00045906	-0.31091	-3.2895	0.38556	0.91365	0.0010035	0.0045616
LYSMD3	4	-0.19423	-1.9709	0.72545	0.97864	0.048739	0.10811	-0.14235	-1.4547	0.89405	0.99024	0.14576	0.2588	-0.13318	-1.3935	0.85724	0.98948	0.16346	0.27203	-0.13106	-1.2915	0.87628	0.995	0.19653	0.32477
PC	3	-0.017285	-0.16423	0.68632	0.96974	0.86955	0.91698	-0.23821	-2.2307	0.59519	0.95666	0.0257	0.066379	-0.16463	-1.5822	0.75769	0.98048	0.11362	0.20545	-0.074024	-0.68031	0.92963	0.99689	0.49631	0.6376
A4GNT	6	-0.27707	-3.8865	0.50492	0.94316	0.00010169	0.0005753	-0.21997	-3.1033	0.64617	0.96334	0.0019135	0.0076449	-0.31783	-4.5389	0.37174	0.90972	5.65E-06	4.38E-05	-0.33832	-4.5859	0.33422	0.8941	4.52E-06	4.31E-05
SCARF1	4	0.13556	1.6007	0.26106	0.87433	0.10945	0.20408	0.25902	3.0779	0.075825	0.6888	0.0020845	0.0082223	0.13167	1.5748	0.32017	0.89605	0.11531	0.20777	0.089267	1.0331	0.4006	0.91961	0.30154	0.44631
ANAPC11	5	-0.3849	-4.8677	0.29842	0.88552	1.13E-06	9.95E-06	-0.33415	-4.2499	0.37136	0.90946	2.14E-05	0.00014843	-0.2214	-2.8866	0.59324	0.96221	0.0038943	0.013123	-0.25414	-3.1574	0.51282	0.94487	0.0015916	0.0067211
TNFRSF25	5	-0.080003	-1.1977	0.90345	0.99475	0.23103	0.36187	-0.084467	-1.2652	0.89942	0.99077	0.2058	0.33588	-0.15981	-2.4047	0.77259	0.98168	0.016184	0.042676	-0.11096	-1.6438	0.94454	0.9985	0.10022	0.19521
SUFU	3	0.047891	0.5206	0.47801	0.94068	0.60265	0.72044	0.11326	1.2354	0.27806	0.8795	0.21669	0.34862	0.35843	3.968	0.050623	0.65617	7.25E-05	0.00042205	0.32905	3.5675	0.055893	0.65816	0.00036044	0.0019255
BRCC3	2	0.23068	2.1472	0.11644	0.74611	0.031778	0.076636	0.10324	0.95867	0.30056	0.88513	0.33773	0.48399	0.10069	0.94101	0.39146	0.91653	0.3467	0.48102	0.10567	0.97034	0.35888	0.90409	0.33188	0.47872
NDUFB9	3	0.10491	0.94808	0.32869	0.89929	0.34309	0.48441	-0.055576	-0.49715	0.7967	0.98333	0.61908	0.73958	0.42778	4.0091	0.027774	0.53687	6.09E-05	0.00036192	0.32369	2.8962	0.058626	0.66484	0.0037766	0.013919
PDIA2	4	-0.35088	-3.7428	0.35372	0.91003	0.00018201	0.00095842	-0.31997	-3.4306	0.39855	0.91488	0.00060226	0.0028178	-0.1843	-2.0396	0.69896	0.97646	0.041394	0.091732	-0.35371	-3.6375	0.30786	0.8825	0.00027534	0.0015317
RHEBL1	3	-0.047529	-0.44023	0.79061	0.98509	0.65977	0.76479	-0.28744	-2.6192	0.47037	0.93574	0.0088147	0.027629	-0.35776	-3.3177	0.30203	0.88988	0.00090772	0.003801	-0.22286	-1.9725	0.59608	0.95972	0.048552	0.11136
STX6	2	-0.56538	-2.9191	0.11219	0.73904	0.0035106	0.012341	-0.60767	-3.1297	0.07834	0.6941	0.0017496	0.007091	-0.48186	-2.6381	0.15163	0.81679	0.0083381	0.024781	-0.42243	-2.1042	0.21048	0.83878	0.035357	0.086501
POGK	5	-0.22597	-2.6217	0.63464	0.96217	0.0087494	0.026575	-0.31101	-3.589	0.41729	0.92001	0.00033193	0.0016896	-0.23198	-2.7609	0.56644	0.95937	0.0057642	0.018268	-0.25138	-2.8041	0.51996	0.94669	0.0050456	0.017698
TMEM132E	4	-0.10637	-1.2247	0.9944	0.99919	0.2207	0.34908	0.077066	0.89794	0.36537	0.90584	0.36922	0.51506	-0.025148	-0.29579	0.77658	0.98192	0.76739	0.8433	-0.010816	-0.12239	0.70927	0.97801	0.90259	0.93931
CARM1	3	-0.62973	-4.0143	0.078018	0.67854	5.96E-05	0.00035875	-0.28653	-1.9313	0.47239	0.93574	0.053446	0.11927	-0.15406	-1.0917	0.79029	0.98297	0.27498	0.40483	-0.16291	-1.0586	0.77434	0.984	0.28978	0.43302
PCDHB2	2	-0.10147	-0.80761	0.97747	0.99833	0.41931	0.56027	-0.19925	-1.5781	0.70881	0.97064	0.11454	0.21581	-0.304	-2.4388	0.39927	0.92094	0.014738	0.039562	-0.2305	-1.7638	0.57474	0.95631	0.077772	0.16074
TCF12	7	0.042134	0.6415	0.49462	0.94316	0.5212	0.65174	0.068621	1.0479	0.38796	0.91456	0.2947	0.43755	-0.018353	-0.28322	0.75297	0.97961	0.77701	0.85011	-0.016286	-0.24134	0.72823	0.97931	0.80929	0.87824
RMND1	4	-0.34146	-3.3948	0.37066	0.9144	0.00068679	0.0030518	-0.35441	-3.5284	0.33343	0.89426	0.00041806	0.0020577	-0.48533	-4.9061	0.14883	0.81679	9.29E-07	8.61E-06	-0.41691	-3.9517	0.21725	0.84204	7.76E-05	0.00051378
C9orf86	4	-0.12971	-1.6494	0.92711	0.99654	0.099073	0.18896	-0.16595	-2.1093	0.81458	0.98406	0.034916	0.084779	-0.14626	-1.8793	0.81514	0.98694	0.060202	0.12404	-0.047233	-0.59364	0.83558	0.98967	0.55275	0.6859
RPAP1	3	-0.1695	-1.6353	0.8003	0.98543	0.10198	0.19309	-0.10841	-1.0523	0.98483	0.99778	0.29267	0.43535	-0.22669	-2.2251	0.5798	0.95937	0.026076	0.063138	-0.28848	-2.6738	0.43182	0.92998	0.0074987	0.024682
TMC6	4	0.21449	2.4445	0.13451	0.77279	0.014506	0.040501	0.067137	0.7601	0.39193	0.91466	0.44719	0.58981	0.016355	0.18759	0.63558	0.9715	0.8512	0.90178	0.017371	0.19097	0.61316	0.96329	0.84855	0.90453
HIST1H2BA	2	0.15318	1.0654	0.2263	0.85681	0.28668	0.42468	0.23392	1.6404	0.096423	0.72698	0.10091	0.19582	0.24689	1.7665	0.1321	0.79263	0.077311	0.15162	-0.033603	-0.22164	0.7876	0.98499	0.8246	0.88801
EPHA7	3	-0.20874	-1.7619	0.68304	0.96974	0.07808	0.15659	-0.29566	-2.4807	0.45138	0.92816	0.013111	0.03839	-0.27893	-2.4087	0.45261	0.92983	0.016007	0.042279	-0.078141	-0.64446	0.9442	0.9985	0.51928	0.65745
ZC2HC1C	4	0.07761	0.91197	0.39483	0.92931	0.36179	0.50303	-0.11968	-1.3932	0.97409	0.99747	0.16355	0.28243	0.1068	1.2749	0.37644	0.91145	0.20235	0.32102	-0.05206	-0.59362	0.85344	0.99242	0.55276	0.6859
ZNF195	3	-0.039435	-0.46189	0.76302	0.98234	0.64416	0.7531	-0.072626	-0.85055	0.85797	0.98892	0.39502	0.54112	0.097019	1.1448	0.40071	0.92109	0.25229	0.37925	0.0061966	0.072077	0.64894	0.96874	0.94254	0.96441
CYB5B	4	-0.30108	-2.7815	0.45029	0.9387	0.0054105	0.017789	-0.18184	-1.7044	0.76299	0.97925	0.088299	0.17687	-0.48944	-4.5845	0.14546	0.8129	4.55E-06	3.60E-05	-0.07269	-0.6628	0.9249	0.99689	0.50746	0.64768
ZNF546	4	0.82703	7.3013	0.00124	0.17851	2.85E-13	6.59E-12	0.80869	7.1434	0.0012056	0.16406	9.11E-13	2.23E-11	1.0825	9.8355	0.0005626	0.19322	7.92E-23	6.83E-21	0.6386	5.4057	0.0039038	0.30357	6.46E-08	9.36E-07
CUX2	3	0.10803	0.87784	0.32151	0.89731	0.38003	0.52215	-0.077387	-0.61955	0.87477	0.98949	0.53555	0.66978	0.11025	0.91918	0.36799	0.90718	0.358	0.49316	0.21113	1.6751	0.15904	0.80604	0.093922	0.18572
IER3IP1	4	-0.32461	-3.2906	0.40271	0.93182	0.00099986	0.0042238	-0.24862	-2.5452	0.56799	0.95251	0.01092	0.032961	-0.40658	-4.2138	0.23205	0.87274	2.51E-05	0.00016554	-0.23531	-2.3181	0.56197	0.95273	0.020446	0.056113
CSNK2A2	4	-0.38613	-4.0521	0.29684	0.88471	5.08E-05	0.00031108	-0.18325	-1.96	0.75862	0.97845	0.049994	0.11297	-0.38267	-4.1234	0.2646	0.88983	3.73E-05	0.00023472	-0.31493	-3.2163	0.37799	0.91295	0.0012984	0.005667
TCEA1	4	-0.11284	-1.3498	0.98381	0.99867	0.17708	0.2959	-0.16927	-2.0217	0.80429	0.98402	0.043205	0.1006	-0.20825	-2.5191	0.62989	0.96906	0.011767	0.032874	-0.26749	-3.0965	0.47992	0.94163	0.001958	0.0080195
KIAA2018	3	-0.10485	-1.0569	0.98897	0.99867	0.29057	0.42908	-0.13552	-1.3658	0.91714	0.99264	0.17199	0.29335	-0.18609	-1.8994	0.69353	0.97619	0.057514	0.11959	-0.16783	-1.6475	0.7588	0.984	0.099455	0.19402
PPP1R15B	5	-0.27632	-3.4628	0.50667	0.94316	0.00053461	0.0024435	-0.32908	-4.1161	0.38091	0.91209	3.85E-05	0.00025099	-0.28567	-3.6548	0.43823	0.92845	0.0002574	0.0012759	-0.30367	-3.6868	0.4001	0.91911	0.0002271	0.0012977
ABHD16A	7	-0.13259	-1.8061	0.91753	0.99475	0.0709	0.14509	-0.06784	-0.93105	0.84053	0.98766	0.35183	0.49813	0.08754	1.2383	0.42566	0.9243	0.2156	0.33668	-0.01406	-0.1875	0.72012	0.97875	0.85126	0.90659
OAZ3	2	-0.27698	-2.3471	0.50523	0.94316	0.01892	0.050531	-0.18801	-1.6035	0.74414	0.97495	0.10882	0.20757	-0.063206	-0.54932	0.90722	0.99209	0.58279	0.69885	-0.11716	-0.98096	0.92386	0.99689	0.32661	0.47347
CHRNA7	4	-0.28804	-3.6599	0.47968	0.94068	0.00025231	0.0012732	-0.25818	-3.2883	0.54287	0.94786	0.001008	0.0043836	-0.24469	-3.1512	0.53327	0.94714	0.0016259	0.0062743	-0.2062	-2.5868	0.64353	0.96793	0.009687	0.030519
NUDT17	4	-0.43994	-4.2159	0.22314	0.85181	2.49E-05	0.00016459	-0.37709	-3.6488	0.29522	0.88513	0.00026345	0.0013801	-0.50274	-4.9487	0.13457	0.79714	7.47E-07	7.11E-06	-0.26736	-2.5092	0.48018	0.9417	0.012099	0.03666
RPL10L	2	0.048589	0.35392	0.47568	0.94039	0.7234	0.81506	0.14621	1.0748	0.21326	0.85516	0.28244	0.425	0.19803	1.4871	0.19666	0.8515	0.137	0.23722	0.12565	0.89375	0.31123	0.88402	0.37145	0.52
ALK	3	0.16708	1.6447	0.20145	0.83949	0.10003	0.19025	0.13794	1.3578	0.22835	0.86184	0.17454	0.29667	0.19583	1.9606	0.20006	0.85254	0.049925	0.10679	0.2118	2.0454	0.15823	0.80572	0.040812	0.096945
SMPD4	4	-0.088722	-1.1378	0.93296	0.99661	0.25521	0.38913	-0.096955	-1.2442	0.94374	0.99492	0.21342	0.34476	-0.062591	-0.81133	0.90503	0.99175	0.41718	0.5493	-0.14415	-1.8169	0.83383	0.98961	0.069233	0.14723
SERPINE3	3	0.26101	2.3994	0.087514	0.70485	0.01642	0.045029	0.22042	2.0246	0.10933	0.74835	0.042905	0.10001	0.14656	1.3638	0.28849	0.88983	0.17262	0.28351	0.27582	2.4751	0.090235	0.72118	0.01332	0.039632
C20orf173	3	-0.17857	-1.7123	0.77289	0.98308	0.086834	0.17031	-0.007906	-0.076822	0.62937	0.9626	0.93877	0.96463	-0.12432	-1.2208	0.88672	0.99048	0.22216	0.34472	-0.037548	-0.35423	0.80154	0.98732	0.72317	0.81761
NEUROD4	2	0.42595	3.705	0.017739	0.43361	0.00021138	0.0010939	0.26068	2.2566	0.074551	0.68383	0.024036	0.062866	0.38308	3.3596	0.040611	0.62121	0.00078068	0.0033412	0.31526	2.6915	0.063253	0.67019	0.0071122	0.023582
KIAA1467	3	-0.054147	-0.54284	0.81392	0.98702	0.58724	0.70859	-0.035514	-0.35697	0.72457	0.97176	0.72111	0.81808	-0.14918	-1.5142	0.80637	0.98598	0.12999	0.22765	-0.027261	-0.26743	0.76628	0.984	0.78913	0.86367
ERN1	3	-0.19072	-1.8368	0.73578	0.97938	0.066234	0.13776	-0.45807	-4.327	0.18814	0.84511	1.51E-05	0.00010874	-0.31736	-3.0981	0.37271	0.90997	0.0019476	0.0073288	-0.37391	-3.4305	0.27584	0.8677	0.00060257	0.0029625
SUB1	3	0.20553	1.8983	0.1452	0.7857	0.05765	0.12338	0.20404	1.8875	0.12769	0.77917	0.059095	0.1291	-0.040641	-0.37717	0.82962	0.98867	0.70605	0.79613	0.26027	2.3568	0.10348	0.74212	0.018432	0.051576
USP19	3	-0.047917	-0.5551	0.79207	0.98509	0.57883	0.70188	0.020821	0.24171	0.52904	0.94422	0.809	0.88094	-0.20408	-2.3728	0.64139	0.9721	0.017655	0.045805	-0.11529	-1.3202	0.92973	0.99689	0.18678	0.31233
VPREB3	4	0.023972	0.25189	0.54805	0.94799	0.80113	0.86984	-0.024513	-0.25717	0.68601	0.96862	0.79705	0.87215	-0.0059069	-0.063313	0.71158	0.97739	0.94952	0.96768	0.04026	0.4113	0.5411	0.95182	0.68085	0.78678
PLP1	5	0.20535	2.7714	0.14538	0.7857	0.005582	0.018273	0.26529	3.593	0.070968	0.67305	0.00032691	0.0016675	0.21194	2.8954	0.17624	0.83001	0.0037867	0.012818	0.3682	4.9271	0.038797	0.59132	8.34E-07	9.44E-06
NCAPH	4	-0.55511	-6.2604	0.11899	0.75083	3.84E-10	5.98E-09	-0.7373	-8.1995	0.036764	0.55375	2.41E-16	8.76E-15	-0.44694	-5.201	0.18551	0.84617	1.98E-07	2.13E-06	-0.48902	-5.3688	0.14225	0.79271	7.93E-08	1.12E-06
CPOX	6	-0.51886	-6.2661	0.14552	0.7857	3.70E-10	5.79E-09	-0.48922	-5.947	0.15715	0.81179	2.73E-09	4.04E-08	-0.43128	-5.4303	0.20295	0.85538	5.63E-08	6.76E-07	-0.44132	-5.1445	0.18829	0.82661	2.68E-07	3.36E-06
TMEM38A	3	-0.20922	-2.0386	0.68144	0.96974	0.041491	0.094848	-0.19503	-1.9056	0.72169	0.97163	0.056698	0.12511	-0.26353	-2.6116	0.48774	0.93858	0.0090107	0.026415	-0.35514	-3.3244	0.30523	0.88103	0.00088603	0.0041047
EN2	4	0.0018128	13.013	0.62092	0.96217	1.04E-38	2.70E-36	0.0016546	11.877	0.59564	0.95666	1.56E-32	3.28E-30	0.0018841	13.522	0.68558	0.97503	1.16E-41	5.59E-39	0.0022571	16.205	0.6639	0.97219	4.62E-59	5.37E-56
HDAC6	4	-0.11678	-1.2118	0.96975	0.99833	0.22558	0.35521	-0.16219	-1.6806	0.82726	0.98471	0.092834	0.18414	-0.073512	-0.78285	0.9434	0.9959	0.43372	0.56473	-0.030689	-0.31129	0.77809	0.9844	0.75558	0.84114
NRN1L	3	-0.40826	-4.2422	0.26387	0.87469	2.21E-05	0.00014798	-0.31547	-3.3012	0.40791	0.91666	0.00096284	0.0042193	-0.45077	-4.7574	0.18102	0.83811	1.96E-06	1.69E-05	-0.4612	-4.6549	0.16748	0.80904	3.24E-06	3.20E-05
RHCG	3	0.097137	0.99806	0.34666	0.90691	0.31825	0.45854	-0.10947	-1.1143	0.98886	0.9983	0.26514	0.40595	0.079439	0.82702	0.44742	0.92939	0.40823	0.54043	0.074819	0.75267	0.43984	0.93219	0.45165	0.59804
RAD52	2	-0.25553	-1.9417	0.55598	0.95003	0.05217	0.11401	-0.33979	-2.57	0.36047	0.90332	0.010169	0.031057	-0.43589	-3.3493	0.19772	0.8515	0.00081007	0.0034475	-0.26819	-1.9718	0.47836	0.94141	0.048637	0.11149
PIK3CB	6	-0.24339	-3.1411	0.58788	0.9575	0.0016832	0.006629	-0.25224	-3.2602	0.55836	0.95162	0.0011132	0.0047726	-0.33517	-4.403	0.34024	0.90302	1.07E-05	7.77E-05	-0.33002	-4.0871	0.34904	0.90012	4.37E-05	0.00031088
ENG	3	-0.1325	-1.4926	0.91789	0.99475	0.13555	0.24128	-0.032768	-0.37051	0.71489	0.97064	0.711	0.8108	-0.016146	-0.184	0.74557	0.9791	0.85401	0.90317	-0.036761	-0.41049	0.79863	0.98732	0.68144	0.78695
STX19	3	-0.1085	-0.95504	0.99829	0.99961	0.33956	0.4808	0.021289	0.18964	0.52736	0.94422	0.84959	0.90672	-0.18412	-1.651	0.69952	0.97663	0.098737	0.18446	-0.16792	-1.4232	0.75859	0.984	0.15467	0.27192
RABIF	6	-0.0411	-0.58159	0.76879	0.98294	0.56084	0.68686	-0.13162	-1.8556	0.93062	0.99413	0.063517	0.13673	-0.065336	-0.9391	0.91474	0.99336	0.34768	0.48207	-0.1606	-2.1984	0.78174	0.9844	0.02792	0.071933
KDM4D	2	0.072987	0.6105	0.40728	0.93334	0.54153	0.67005	0.17523	1.4747	0.16647	0.82426	0.14029	0.25175	0.098176	0.83378	0.39752	0.91981	0.4044	0.53724	0.1097	0.90128	0.349	0.90012	0.36744	0.51632
ARHGEF26	3	0.089765	0.9407	0.36459	0.91339	0.34686	0.48796	0.064053	0.67129	0.40044	0.91488	0.50203	0.64037	0.15235	1.6204	0.27674	0.88983	0.10514	0.1934	0.15202	1.5699	0.25588	0.85914	0.11643	0.21923
RABAC1	4	0.031585	0.33606	0.52533	0.94466	0.73683	0.82486	0.11895	1.2756	0.26619	0.87663	0.2021	0.3312	-0.049673	-0.53704	0.85998	0.98968	0.59124	0.70599	-0.063604	-0.65117	0.8935	0.99602	0.51494	0.6542
E2F8	4	0.13314	1.5476	0.26579	0.87469	0.12173	0.22204	0.21047	2.4592	0.12012	0.76192	0.013924	0.040274	0.18354	2.1692	0.21986	0.86627	0.030069	0.070938	0.24829	2.8476	0.11513	0.75941	0.0044048	0.015807
C5orf45	6	-0.12827	-1.6687	0.93192	0.99661	0.095173	0.18329	-0.11173	-1.4585	0.99666	0.99936	0.1447	0.25744	-0.036265	-0.4854	0.81504	0.98694	0.62739	0.73552	0.025206	0.32249	0.58832	0.95866	0.74708	0.83477
TRNP1	3	-0.37426	-3.1961	0.3147	0.89494	0.0013929	0.0056374	-0.37168	-3.1841	0.30394	0.88627	0.0014519	0.0060144	-0.57255	-4.9542	0.088478	0.74093	7.26E-07	6.94E-06	-0.41485	-3.3747	0.21982	0.84309	0.00073904	0.0035221
TAS1R3	6	-0.038556	-0.52125	0.76006	0.98234	0.60219	0.72009	0.010708	0.1455	0.56299	0.95251	0.88432	0.93013	0.0084953	0.1174	0.66128	0.97333	0.90654	0.93932	-0.14416	-1.8772	0.83374	0.98961	0.060491	0.13244
OR13C8	2	-0.088342	-0.64109	0.93164	0.99661	0.52147	0.65192	-0.21164	-1.5229	0.67082	0.96798	0.12779	0.23441	-0.050345	-0.37524	0.8621	0.98983	0.70748	0.79718	-0.065089	-0.45769	0.89885	0.99602	0.64717	0.76242
ANXA3	2	-0.32416	-2.5237	0.4037	0.93185	0.011613	0.03358	-0.014623	-0.11662	0.65169	0.96417	0.90716	0.94497	-0.07166	-0.5793	0.93676	0.99543	0.56238	0.68081	-0.22866	-1.7397	0.57998	0.95757	0.081907	0.16728
IGSF11	7	-0.043498	-0.62062	0.7767	0.98344	0.53485	0.6641	-0.054696	-0.78128	0.79319	0.98241	0.43464	0.57829	0.18073	2.6632	0.22459	0.86899	0.0077393	0.0233	0.099941	1.4032	0.37313	0.9112	0.16057	0.27969
STUB1	3	-0.0060109	-0.052774	0.64857	0.96642	0.95791	0.97538	-0.055637	-0.48766	0.79684	0.98333	0.62579	0.74407	-0.39115	-3.4192	0.25286	0.8871	0.00062796	0.002772	-0.28209	-2.3378	0.44618	0.93456	0.019398	0.053746
LBX1	3	0.0011181	9.2674	0.6247	0.96217	1.91E-20	9.52E-19	0.0011408	9.4554	0.5982	0.957	3.22E-21	1.88E-19	0.0020655	17.118	0.68476	0.97503	1.10E-65	1.91E-62	0.0027347	22.671	0.66192	0.97193	8.69E-114	1.89E-110
ST3GAL1	3	0.2745	2.8807	0.077077	0.67854	0.003968	0.013711	0.15163	1.585	0.20395	0.85263	0.11297	0.21367	0.207	2.1922	0.18367	0.84372	0.028365	0.067598	0.3306	3.424	0.055147	0.65816	0.00061702	0.0030233
ANKRD13B	3	0.10842	0.84712	0.32051	0.89731	0.39693	0.5387	-0.0014151	-0.010968	0.60749	0.95881	0.99125	0.99479	0.26963	2.189	0.1097	0.7659	0.028593	0.068042	0.063421	0.47444	0.47173	0.93859	0.63519	0.75267
CYP2F1	4	-0.016412	-0.19432	0.68367	0.96974	0.84593	0.90118	0.11176	1.3335	0.28116	0.88166	0.18238	0.3065	0.1809	2.1903	0.22427	0.86837	0.0285	0.067858	0.13721	1.6065	0.28625	0.87137	0.10817	0.20701
PCOLCE2	4	-0.02846	-0.27647	0.72469	0.97858	0.78218	0.85666	0.02196	0.21477	0.52516	0.94422	0.82995	0.89444	0.047208	0.47293	0.5395	0.94844	0.63626	0.74323	0.082441	0.78252	0.41844	0.92399	0.43391	0.58115
GLA	4	-0.30468	-3.0054	0.44261	0.93844	0.0026525	0.0097689	-0.13492	-1.3565	0.91935	0.99264	0.17493	0.29714	-0.12542	-1.2923	0.88317	0.98983	0.19625	0.31328	-0.039504	-0.38617	0.80859	0.98844	0.69937	0.80052
SFMBT2	3	0.14946	1.3817	0.23338	0.85982	0.16707	0.28337	0.2481	2.3118	0.084287	0.70885	0.02079	0.055955	0.056999	0.53445	0.51035	0.94174	0.59303	0.70743	0.21839	1.9773	0.14955	0.79847	0.048008	0.11038
KNDC1	4	0.10933	1.1752	0.31843	0.89624	0.23992	0.37202	0.041962	0.44981	0.46424	0.93336	0.65285	0.76682	-0.013308	-0.14486	0.73576	0.97851	0.88482	0.92401	-0.0053422	-0.055282	0.69088	0.97541	0.95591	0.97284
SH3GL1	3	0.0029488	0.031403	0.61606	0.96145	0.97495	0.98627	-0.07445	-0.7911	0.8643	0.98949	0.42889	0.57303	0.047835	0.51652	0.53753	0.94754	0.60549	0.71744	-0.024908	-0.26019	0.75794	0.984	0.79472	0.86805
EGLN3	3	0.047695	0.46296	0.4786	0.94068	0.6434	0.75252	-0.011744	-0.11376	0.64215	0.96334	0.90943	0.9462	0.090997	0.90085	0.41643	0.92346	0.36767	0.50261	0.13144	1.2524	0.29824	0.87534	0.21041	0.34164
GNAT3	2	-0.36844	-2.4657	0.32335	0.89839	0.013676	0.038554	-0.12732	-0.8766	0.94628	0.99551	0.3807	0.52702	0.1846	1.3308	0.21832	0.86561	0.18325	0.29699	0.21294	1.461	0.15668	0.80377	0.14402	0.25758
ZSWIM3	3	-0.23012	-2.2941	0.62287	0.96217	0.021787	0.056772	-0.18089	-1.8122	0.76609	0.97966	0.069948	0.14769	-0.18953	-1.9298	0.68282	0.97503	0.053628	0.11309	-0.16571	-1.6167	0.76565	0.984	0.10594	0.20384
DUSP23	2	-0.027306	-0.21139	0.72082	0.97825	0.83258	0.89259	-0.30106	-2.2865	0.43868	0.92629	0.022225	0.059006	-0.037149	-0.29322	0.81788	0.98694	0.76936	0.84476	-0.058983	-0.44254	0.87785	0.995	0.6581	0.77081
GJB3	3	0.054548	0.51238	0.45891	0.9387	0.60839	0.72486	-0.065374	-0.61007	0.83179	0.98512	0.54182	0.67549	-0.090296	-0.85793	0.99974	0.99991	0.39093	0.52523	0.065539	0.59951	0.46563	0.9368	0.54883	0.68282
FAT2	4	0.081256	0.97255	0.38568	0.92496	0.33077	0.47217	0.15932	1.916	0.19112	0.84524	0.055367	0.12273	0.12728	1.5464	0.32941	0.89802	0.122	0.21666	0.12552	1.4776	0.31164	0.88407	0.13952	0.25135
LZTFL1	2	0.193	1.1269	0.1619	0.80186	0.2598	0.39472	0.097428	0.56485	0.31438	0.88805	0.57217	0.7006	0.35543	2.1614	0.051897	0.66272	0.030664	0.072182	0.39722	2.2838	0.029542	0.55021	0.022383	0.060104
PLSCR2	2	0.40508	3.3087	0.021448	0.46584	0.00093732	0.0039939	0.42855	3.5081	0.015018	0.40308	0.00045131	0.002199	0.46895	3.8869	0.019507	0.49771	0.00010154	0.00056275	0.54228	4.3837	0.0079913	0.39272	1.17E-05	9.97E-05
PARP11	3	-0.60818	-5.8022	0.087789	0.70535	6.55E-09	8.48E-08	-0.43747	-4.2454	0.21108	0.85516	2.18E-05	0.00015096	-0.43356	-4.2991	0.20034	0.85298	1.72E-05	0.00011904	-0.51153	-4.7558	0.12361	0.77426	1.98E-06	2.04E-05
SLC38A5	3	-0.017732	-0.16813	0.68777	0.96974	0.86648	0.91469	0.087975	0.84143	0.33725	0.89525	0.40011	0.54586	-0.029326	-0.28345	0.79123	0.98297	0.77683	0.85004	-0.19198	-1.7406	0.68557	0.97522	0.081749	0.16702
CRK	4	-0.69503	-7.952	0.053849	0.61914	1.84E-15	5.48E-14	-0.52529	-6.0872	0.12777	0.77917	1.15E-09	1.80E-08	-0.67309	-7.8685	0.048338	0.65419	3.59E-15	1.27E-13	-0.77535	-8.5678	0.0241	0.52566	1.06E-17	7.72E-16
ULK4	3	0.042594	0.39064	0.49305	0.94316	0.69606	0.79418	-0.15696	-1.4204	0.84438	0.98865	0.1555	0.27168	-0.31	-2.8379	0.38706	0.9147	0.0045406	0.014988	-0.16575	-1.4448	0.76558	0.984	0.14851	0.26336
SHROOM1	4	-0.23208	-2.552	0.6177	0.96155	0.01071	0.031361	-0.22811	-2.5143	0.62351	0.96098	0.011926	0.035428	-0.08835	-1.001	0.9935	0.99918	0.31682	0.44977	-0.030518	-0.33163	0.77752	0.9844	0.74017	0.82977
SPPL3	4	-0.01552	-0.1616	0.68068	0.96974	0.87162	0.91827	-0.088515	-0.91832	0.9136	0.99226	0.35845	0.50484	0.042608	0.45527	0.55323	0.95587	0.64892	0.75337	-0.046194	-0.4645	0.83191	0.98961	0.64229	0.75815
