Gene	sgRNA	Pmel1_Input|beta	Pmel1_Input|z	Pmel1_Input|p-value	Pmel1_Input|fdr	Pmel1_Input|wald-p-value	Pmel1_Input|wald-fdr	Pmel1_Ctrl|beta	Pmel1_Ctrl|z	Pmel1_Ctrl|p-value	Pmel1_Ctrl|fdr	Pmel1_Ctrl|wald-p-value	Pmel1_Ctrl|wald-fdr	Pmel1|beta	Pmel1|z	Pmel1|p-value	Pmel1|fdr	Pmel1|wald-p-value	Pmel1|wald-fdr
Socs1	4	-0.14498	-0.34871	0.59024	0.9249	0.7273	0.99994	-0.092527	-0.21648	0.22445	0.8681	0.82861	1	-0.9015	-2.0931	0.12696	0.87636	0.036339	0.1248
Supv3l1	4	-2.4756	-4.3799	0	0	1.1875e-05	0.00069537	-0.0062095	-0.010785	0.82546	0.98741	0.9914	1	-1.5623e-05	-2.71e-05	0.34348	0.93533	0.99998	1
Ppdpf	4	-0.1394	-0.57138	0.60691	0.93274	0.56775	0.99994	0.0044916	0.018028	0.68503	0.98741	0.98562	1	0.11259	0.45214	0.19288	0.92481	0.65117	0.80141
Stxbp1	4	0.054026	0.18467	0.63212	0.93864	0.85348	0.99994	-0.17827	-0.59435	0.016773	0.32353	0.55228	1	-0.10544	-0.35075	0.53901	0.96626	0.72578	0.85421
Tekt3	4	0.13022	0.50605	0.31619	0.76322	0.61282	0.99994	-0.018834	-0.071585	0.99685	0.99908	0.94293	1	-0.0052416	-0.019919	0.35233	0.93759	0.98411	1
Spint2	4	0.10637	0.42939	0.40407	0.82863	0.66764	0.99994	-0.018953	-0.075165	0.99532	0.99898	0.94008	1	-0.2007	-0.79575	0.74856	0.9852	0.42618	0.62139
Iqcd	4	-0.080503	-0.32332	0.79482	0.97457	0.74645	0.99994	-0.015734	-0.061553	0.95919	0.99628	0.95092	1	-0.36611	-1.4253	0.8676	0.99624	0.15406	0.32475
Rragc	4	-0.0073779	-0.020263	0.9138	0.99173	0.98383	0.99994	-0.071365	-0.19269	0.37504	0.94034	0.8472	1	-1.323	-3.5695	0.017027	0.54545	0.00035773	0.0065656
Hopx	4	0.15659	0.77937	0.23187	0.67597	0.43576	0.99994	-0.083769	-0.40795	0.28051	0.91765	0.68331	1	-0.28891	-1.4053	0.95492	0.99908	0.15995	0.33276
Map7d1	4	0.031851	0.23128	0.73525	0.96039	0.8171	0.99994	0.0074451	0.052973	0.64803	0.98741	0.95775	1	0.14897	1.0601	0.15685	0.90578	0.28908	0.4886
Cckar	4	0.039777	0.14838	0.6982	0.95361	0.88204	0.99994	0.028293	0.10364	0.41469	0.95787	0.91745	1	-0.41702	-1.5269	0.75578	0.9852	0.12679	0.28602
1700001C02Rik	4	0.038179	0.18156	0.70572	0.95568	0.85593	0.99994	0.011852	0.055253	0.59614	0.98614	0.95594	1	0.022454	0.10467	0.30826	0.93533	0.91663	0.97291
Rasgef1c	4	0.033446	0.29717	0.72762	0.95926	0.76634	0.99994	0.0066957	0.058194	0.65748	0.98741	0.95359	1	-0.22411	-1.9445	0.80529	0.99194	0.05184	0.15728
Ehd1	4	-0.010008	-0.060667	0.92518	0.99254	0.95162	0.99994	-0.013325	-0.079069	0.92701	0.99601	0.93698	1	-0.031236	-0.18528	0.3968	0.9478	0.85301	0.93561
Ngb	4	0.08325	0.48845	0.4984	0.88295	0.62523	0.99994	-0.075558	-0.43343	0.34038	0.93599	0.6647	1	-0.084901	-0.4866	0.49926	0.96579	0.62654	0.78562
Fam162b	4	0.15589	0.94997	0.2337	0.67702	0.34213	0.99994	-0.013045	-0.07791	0.92325	0.99601	0.9379	1	-0.14142	-0.84422	0.61504	0.9723	0.39855	0.5972
Apitd1	4	0.068838	0.22199	0.56447	0.91535	0.82432	0.99994	-0.050044	-0.15783	0.59909	0.98614	0.87459	1	-0.066115	-0.20835	0.46343	0.95971	0.83496	0.92395
Mn1	4	0.24697	0.96533	0.056112	0.31552	0.33438	0.99994	0.021609	0.082734	0.48361	0.96917	0.93406	1	-0.24844	-0.95098	0.86368	0.99624	0.34161	0.54169
Peli3	4	0.085498	0.43896	0.48788	0.87566	0.66069	0.99994	-0.083739	-0.42277	0.28076	0.91765	0.67247	1	-0.65112	-3.2862	0.35288	0.93759	0.0010156	0.012607
Snapc5	4	-1.9637	-3.8216	0.00015248	0.0047962	0.00013259	0.0054237	-0.31403	-0.60083	0.00035578	0.024823	0.54796	1	-0.56045	-1.073	0.48513	0.96377	0.28326	0.48221
Cacng8	4	0.078618	0.29339	0.51837	0.89376	0.76923	0.99994	-0.021522	-0.078927	0.96086	0.99628	0.93709	1	-0.46296	-1.6972	0.65906	0.979	0.089651	0.22704
Nfkbib	4	0.0083276	0.050469	0.84463	0.98419	0.95975	0.99994	-0.007225	-0.042918	0.84051	0.98799	0.96577	1	-0.36407	-2.1594	0.87288	0.99624	0.03082	0.11163
En1	4	-0.0020703	-0.0104	0.88986	0.98915	0.9917	0.99994	-0.047621	-0.23339	0.62714	0.98614	0.81546	1	-0.18944	-0.92659	0.7231	0.98289	0.35414	0.55391
Dio2	4	0.12038	0.48384	0.35141	0.79298	0.6285	0.99994	-0.025451	-0.10007	0.90785	0.99524	0.92029	1	-0.55408	-2.1732	0.49428	0.96377	0.029762	0.10917
Pdgfa	4	0.087619	0.34597	0.47848	0.8703	0.72936	0.99994	-0.038595	-0.14953	0.73433	0.98741	0.88113	1	-0.42951	-1.6628	0.72976	0.98397	0.096346	0.23811
Top3a	4	-0.86863	-1.2202	0.01108	0.10436	0.22238	0.99994	-0.079278	-0.1063	0.31212	0.93105	0.91535	1	-0.58114	-0.77118	0.45098	0.95755	0.4406	0.633
Asic4	4	0.26897	1.23	0.036645	0.23961	0.2187	0.99994	-0.017095	-0.076332	0.97886	0.99772	0.93915	1	-0.25938	-1.1549	0.88661	0.99823	0.24814	0.4427
Pno1	4	-1.4677	-2.8184	0.00030496	0.006263	0.0048265	0.10622	-0.24312	-0.4582	0.0021347	0.0875	0.64681	1	-0.92561	-1.7456	0.11426	0.85638	0.080887	0.21132
Synpo2l	4	0.10079	0.5454	0.42643	0.84267	0.58548	0.99994	0.016535	0.087617	0.53926	0.97663	0.93018	1	-0.36262	-1.9178	0.87609	0.99624	0.055133	0.16376
Lin52	4	-0.59322	-1.5784	0.049759	0.29259	0.11448	0.99994	0.054327	0.14194	0.20463	0.85201	0.88713	1	-0.23528	-0.61456	0.83222	0.99369	0.53885	0.71666
Ube2dnl1	4	0.21892	1.1157	0.091233	0.41939	0.26456	0.99994	-0.16295	-0.81098	0.026531	0.40937	0.41737	1	0.071114	0.35379	0.2403	0.93533	0.7235	0.85243
Cckbr	4	0.15493	1.2133	0.23568	0.67792	0.22501	0.99994	-0.046894	-0.3587	0.63431	0.98614	0.71982	1	0.039235	0.30007	0.28285	0.93533	0.76412	0.88022
Cyb5b	4	0.023724	0.12468	0.77296	0.96984	0.90077	0.99994	0.016011	0.082367	0.54546	0.97959	0.93435	1	-0.67566	-3.4652	0.32224	0.93533	0.00052991	0.0084511
Hist2h2aa1	4	-1.641	-3.3879	0.0002033	0.0047962	0.00070418	0.022132	-0.22977	-0.46506	0.0030496	0.10932	0.64189	1	-0.73741	-1.4931	0.25388	0.93533	0.13542	0.29776
Eno3	4	0.017752	0.070634	0.80086	0.97627	0.94369	0.99994	0.077135	0.30117	0.095959	0.70818	0.76329	1	0.056783	0.22169	0.25799	0.93533	0.82456	0.91708
Cndp1	4	0.23142	0.86358	0.074307	0.37309	0.38782	0.99994	-0.0057891	-0.021136	0.81962	0.98741	0.98314	1	-0.11561	-0.42176	0.56132	0.96858	0.6732	0.8172
Rtkn	4	-0.070763	-0.43745	0.83309	0.9819	0.66178	0.99994	-0.10112	-0.61333	0.17708	0.82667	0.53966	1	-0.2708	-1.6407	0.91263	0.99908	0.10087	0.24522
Fgf15	4	0.055124	0.31105	0.62607	0.93638	0.75576	0.99994	-0.042605	-0.23613	0.68579	0.98741	0.81333	1	-0.23361	-1.2944	0.82806	0.99344	0.19553	0.37909
Fnip2	4	0.040981	0.1306	0.69281	0.95248	0.89609	0.99994	-0.070205	-0.21848	0.38475	0.94041	0.82706	1	-0.15256	-0.47385	0.6402	0.97668	0.63561	0.79163
Tapbp	4	-0.1161	-0.37613	0.67578	0.94883	0.70682	0.99994	0.0080172	0.025462	0.64102	0.98642	0.97969	1	-0.79712	-2.5259	0.19715	0.92481	0.01154	0.059064
Slc30a10	4	0.086791	0.49611	0.48254	0.87148	0.61982	0.99994	0.08581	0.47829	0.069987	0.63456	0.63244	1	0.17241	0.96171	0.13733	0.89028	0.33619	0.53673
Cd74	4	0.12846	0.63517	0.32356	0.77201	0.52532	0.99994	-0.01758	-0.08536	0.98582	0.99835	0.93198	1	-0.60454	-2.9344	0.41632	0.95443	0.0033418	0.026837
Cblc	4	0.25559	1.2601	0.04798	0.28502	0.20762	0.99994	0.035674	0.17108	0.34612	0.93625	0.86416	1	-0.32731	-1.5648	0.95761	0.99908	0.11764	0.27182
H2al2b	4	0.23278	0.94964	0.072884	0.36826	0.3423	0.99994	0.058755	0.23447	0.1784	0.82698	0.81462	1	-0.057881	-0.23096	0.44635	0.95696	0.81734	0.91339
Atp6v1b2	4	-2.3926	-4.6657	0	0	3.0754e-06	0.00023047	-0.14544	-0.27944	0.048132	0.54867	0.7799	1	-0.16621	-0.31924	0.67044	0.979	0.74954	0.87052
Calcb	4	0.11408	0.38223	0.37428	0.80863	0.70229	0.99994	0.019275	0.062966	0.50902	0.97267	0.94979	1	-0.43556	-1.4181	0.7172	0.98289	0.15616	0.32744
Abcg3	4	0.17997	1.0021	0.1695	0.58406	0.31628	0.99994	0.082999	0.45188	0.077967	0.6578	0.65136	1	-0.13367	-0.72757	0.59802	0.97041	0.46688	0.6573
Dhcr7	4	0.068114	0.35751	0.56742	0.91706	0.72071	0.99994	0.066834	0.34416	0.13748	0.78134	0.73073	1	-0.40657	-2.0926	0.77911	0.98767	0.036389	0.12488
Spag7	4	-0.038127	-0.13667	0.95568	0.99289	0.89129	0.99994	-0.053878	-0.18752	0.55471	0.98069	0.85125	1	0.28643	0.99822	0.064752	0.77017	0.31817	0.51869
Srfbp1	4	-1.5541	-3.2046	0.00025413	0.005637	0.0013527	0.038129	-0.17949	-0.36351	0.015807	0.31256	0.71623	1	-0.46865	-0.94919	0.64737	0.97706	0.34252	0.54265
Tubb2b	4	0.14619	0.40352	0.2618	0.70999	0.68657	0.99994	-0.042834	-0.11583	0.68259	0.98741	0.90778	1	-0.91618	-2.4715	0.11975	0.86459	0.013456	0.064745
C130026I21Rik	4	-2.7887	-5.5471	0	0	2.9041e-08	3.4454e-05	-0.0069839	-0.013692	0.83685	0.98741	0.98908	1	-1.755e-05	-3.4366e-05	0.34348	0.93533	0.99997	1
Spint1	4	-0.043074	-0.1242	0.93647	0.99254	0.90115	0.99994	0.021763	0.061401	0.48183	0.96917	0.95104	1	-0.80596	-2.2652	0.1908	0.92481	0.023502	0.09368
Suv39h1	4	-0.5236	-1.3375	0.074104	0.37251	0.18105	0.99994	-0.23835	-0.59403	0.0022872	0.088757	0.55249	1	-1.3965	-3.4664	0.011792	0.48945	0.00052755	0.0084282
Spr	4	-0.094567	-0.50787	0.74679	0.96326	0.61155	0.99994	-0.08239	-0.43518	0.28981	0.92176	0.66343	1	-0.46881	-2.4756	0.64706	0.97705	0.013301	0.064331
Rmnd5a	4	-0.071303	-0.22329	0.83095	0.98182	0.82331	0.99994	-0.069486	-0.21317	0.39233	0.94507	0.83119	1	-1.0953	-3.3472	0.053367	0.75087	0.00081637	0.011031
Gemin7	4	-0.79523	-1.6313	0.015807	0.13428	0.10284	0.9612	-0.030645	-0.060812	0.83695	0.98741	0.95151	1	-1.0756	-2.1205	0.058602	0.76451	0.033963	0.11918
Prss16	4	0.097771	0.74275	0.43863	0.84927	0.45763	0.99994	0.02887	0.21527	0.4092	0.95577	0.82956	1	-0.13926	-1.038	0.61032	0.97171	0.29928	0.49861
Asna1	4	-1.1056	-1.9053	0.0025921	0.034908	0.056736	0.66445	-0.083656	-0.14018	0.28127	0.91765	0.88852	1	-0.73188	-1.2233	0.25855	0.93533	0.22123	0.41188
Ash1l	4	-1.1854	-2.3209	0.0016264	0.024042	0.020295	0.31441	-0.34545	-0.66028	0.00015248	0.014218	0.50908	1	0.32255	0.61631	0.050419	0.73891	0.53769	0.71591
Gp9	4	0.078358	0.26702	0.51975	0.89439	0.78946	0.99994	-0.04665	-0.15569	0.6368	0.98614	0.87628	1	-0.18447	-0.61501	0.71192	0.98266	0.53855	0.71648
Klf3	4	-0.0086746	-0.03525	0.9198	0.99254	0.97188	0.99994	-0.078645	-0.31298	0.31644	0.93395	0.75429	1	-0.91042	-3.6102	0.12239	0.8712	0.00030592	0.0059693
Rassf9	4	0.28941	1.3002	0.024803	0.18598	0.19353	0.99994	0.0015219	0.0066806	0.72219	0.98741	0.99467	1	-0.11939	-0.52372	0.56925	0.96858	0.60047	0.76582
Rnf141	4	-0.10833	-0.29203	0.70018	0.95385	0.77026	0.99994	0.071981	0.19001	0.11614	0.75171	0.8493	1	-0.48997	-1.2906	0.606	0.97086	0.19683	0.38067
Hint2	4	0.017337	0.077963	0.80295	0.97663	0.93786	0.99994	-0.0018992	-0.0083682	0.76686	0.98741	0.99332	1	-0.23124	-1.0179	0.82292	0.99344	0.30873	0.50894
AA415398	4	0.10733	0.47536	0.40041	0.82784	0.63453	0.99994	0.043644	0.18886	0.28051	0.91765	0.8502	1	-0.078579	-0.33994	0.48773	0.96377	0.7339	0.85986
Vill	4	0.17327	0.64394	0.18602	0.61358	0.51961	0.99994	0.0069468	0.02521	0.65438	0.98741	0.97989	1	-0.70844	-2.5564	0.28335	0.93533	0.010577	0.055747
Thap11	4	-1.2137	-2.0595	0.0014231	0.021807	0.039445	0.51495	-0.085435	-0.13934	0.26831	0.90784	0.88918	1	0.24532	0.4005	0.086048	0.81678	0.68879	0.82891
Pik3c3	4	-0.5198	-1.3372	0.075222	0.37468	0.18114	0.99994	-0.12033	-0.30279	0.1015	0.7186	0.76205	1	-1.1855	-2.9754	0.035172	0.68993	0.0029263	0.024552
Ankrd33	4	0.18062	1.025	0.16844	0.58301	0.30539	0.99994	-0.023196	-0.12861	0.9387	0.99628	0.89767	1	-0.15881	-0.8794	0.65408	0.97871	0.37919	0.5777
Id2	4	-0.13985	-0.63569	0.60518	0.93133	0.52498	0.99994	0.019551	0.086708	0.50668	0.97267	0.9309	1	-0.35125	-1.5528	0.90262	0.99908	0.12046	0.27652
Gkn2	4	0.081654	0.45701	0.5046	0.88509	0.64766	0.99994	-0.11848	-0.64888	0.10694	0.73056	0.51642	1	-0.63085	-3.447	0.37855	0.94249	0.00056689	0.0087869
Olfr553	4	0.21064	1.3562	0.10526	0.45359	0.17504	0.99994	-0.1464	-0.9244	0.046963	0.54449	0.35528	1	-0.070638	-0.44595	0.47197	0.96121	0.65563	0.80466
Nrd1	4	-0.054493	-0.33156	0.89301	0.98992	0.74022	0.99994	-0.051306	-0.30678	0.5844	0.98614	0.75901	1	-0.48496	-2.8989	0.61586	0.9723	0.0037453	0.028898
Casr	4	0.16865	1.7005	0.19827	0.63028	0.08904	0.89414	-0.088744	-0.87721	0.24757	0.89147	0.38037	1	-0.15114	-1.4935	0.63659	0.97615	0.13532	0.29774
Fam102b	4	0.00073079	0.0026915	0.87832	0.98808	0.99785	0.99994	0.12814	0.46294	0.010928	0.25322	0.64341	1	-0.68851	-2.486	0.30811	0.93533	0.012918	0.06341
Gm20822	4	0.37839	1.3382	0.0027446	0.03629	0.18084	0.99994	0.01579	0.054342	0.5479	0.97985	0.95666	1	-0.15547	-0.53414	0.6464	0.97705	0.59325	0.75971
Gm20826	4	0.34595	1.1754	0.0063024	0.069585	0.23984	0.99994	-0.0039912	-0.013205	0.79604	0.98741	0.98946	1	-0.11274	-0.37247	0.55487	0.96858	0.70955	0.84301
Gm20867	4	0.37806	1.7607	0.0027446	0.03629	0.078288	0.82458	-0.026593	-0.12055	0.89266	0.99474	0.90405	1	-0.31154	-1.4069	0.99344	0.99908	0.15944	0.33214
Gm20877	4	0.35916	1.4463	0.0044727	0.053333	0.1481	0.99994	0.014739	0.057997	0.56081	0.98124	0.95375	1	-0.06498	-0.2556	0.46079	0.95971	0.79826	0.90252
Grin2d	4	0.17984	0.9068	0.16986	0.58437	0.36451	0.99994	-0.064744	-0.31963	0.44239	0.9669	0.74925	1	-0.21896	-1.0801	0.79349	0.98992	0.2801	0.47883
Hoxc13	4	0.016526	0.066359	0.80717	0.97724	0.94709	0.99994	-0.047817	-0.18831	0.6247	0.98614	0.85063	1	-0.39484	-1.5518	0.80574	0.99194	0.1207	0.27686
Pdss1	4	-0.5928	-1.2363	0.049809	0.2928	0.21633	0.99994	-0.22653	-0.46247	0.003202	0.1119	0.64374	1	0.122	0.24897	0.18262	0.92135	0.80338	0.90538
Klhl26	4	0.09293	0.40376	0.45804	0.86058	0.68639	0.99994	-0.065597	-0.2788	0.43314	0.96425	0.7804	1	-0.31601	-1.34	0.98307	0.99908	0.18023	0.35959
Abcb1b	4	0.09784	0.54	0.43827	0.84927	0.5892	0.99994	-0.023707	-0.12825	0.93067	0.99628	0.89795	1	-0.087236	-0.47176	0.5045	0.96626	0.63709	0.79264
Foxr2	4	-0.77573	-1.3646	0.017586	0.14435	0.17238	0.99994	-0.11647	-0.19826	0.11395	0.74833	0.84284	1	-0.15132	-0.25698	0.63695	0.97632	0.79719	0.90189
Nrp2	4	0.0059424	0.028434	0.8553	0.98511	0.97732	0.99994	0.012301	0.057828	0.59075	0.98614	0.95389	1	-0.23206	-1.0904	0.8246	0.99344	0.27552	0.47357
Adck2	4	0.061438	0.35262	0.59787	0.92901	0.72437	0.99994	-0.051764	-0.29206	0.57855	0.98614	0.77024	1	-0.42962	-2.4231	0.72971	0.98397	0.015387	0.070818
Mospd3	4	0.021595	0.078333	0.78358	0.97314	0.93756	0.99994	-0.061292	-0.21779	0.47659	0.96838	0.82759	1	-0.56895	-2.0167	0.4709	0.96121	0.043723	0.14036
Fosb	4	0.11881	0.45094	0.35761	0.79855	0.65203	0.99994	-0.068573	-0.25432	0.40229	0.95316	0.79925	1	-0.044213	-0.16384	0.42008	0.9557	0.86986	0.94575
9230110C19Rik	4	0.081645	0.54569	0.5047	0.88518	0.58528	0.99994	-0.029629	-0.19431	0.85072	0.9892	0.84593	1	-0.30464	-1.9962	0.9905	0.99908	0.045909	0.1451
Trim2	4	-0.04182	-0.24476	0.94186	0.99254	0.80664	0.99994	-0.062991	-0.36149	0.45972	0.9681	0.71773	1	0.18547	1.0646	0.12681	0.87636	0.28706	0.48639
Fxyd7	4	0.12408	0.65382	0.33718	0.77946	0.51323	0.99994	0.0042312	0.021877	0.68767	0.98741	0.98255	1	-0.41238	-2.1303	0.76645	0.98651	0.033147	0.11726
Tmem163	4	0.042211	0.16721	0.68676	0.95014	0.86721	0.99994	-0.031347	-0.122	0.82709	0.98741	0.9029	1	-0.73208	-2.8479	0.25845	0.93533	0.0044004	0.032086
Zglp1	4	0.1301	0.5175	0.31649	0.76336	0.6048	0.99994	-0.039388	-0.15302	0.72478	0.98741	0.87838	1	0.056737	0.22042	0.25809	0.93533	0.82554	0.91781
H60b	4	0.029784	0.099762	0.74455	0.96261	0.92053	0.99994	0.064899	0.21286	0.14618	0.7946	0.83144	1	-0.59392	-1.9428	0.43309	0.95696	0.05204	0.1575
Pcdhb11	4	-0.046438	-0.23936	0.92249	0.99254	0.81082	0.99994	-0.071067	-0.35661	0.37723	0.94034	0.72138	1	-0.49841	-2.487	0.591	0.96949	0.012883	0.063304
Csnk2a2	4	0.28785	1.0016	0.025464	0.18934	0.31653	0.99994	-0.032611	-0.11095	0.81123	0.98741	0.91166	1	-0.51975	-1.7661	0.55283	0.96858	0.077378	0.20518
Znrf2	4	-0.042885	-0.14384	0.93733	0.99254	0.88563	0.99994	-0.026826	-0.087816	0.88895	0.99454	0.93002	1	-0.68378	-2.2265	0.31344	0.93533	0.025981	0.099982
Gpr153	4	0.069631	0.25593	0.56091	0.91518	0.798	0.99994	-0.023925	-0.086215	0.92717	0.99601	0.9313	1	-0.76871	-2.7636	0.22241	0.93533	0.0057171	0.03772
Pkig	4	-0.012492	-0.061038	0.93571	0.99254	0.95133	0.99994	-0.031737	-0.1522	0.82252	0.98741	0.87903	1	-0.028609	-0.13716	0.39212	0.94622	0.89091	0.95858
Mcph1	4	0.071662	0.2501	0.55055	0.90906	0.80251	0.99994	-0.11407	-0.3903	0.12254	0.76595	0.69632	1	0.086928	0.29737	0.22084	0.93533	0.76619	0.88139
Zfp652	4	0.013852	0.055052	0.81931	0.98027	0.9561	0.99994	0.044419	0.173	0.2741	0.91314	0.86265	1	-0.49191	-1.9137	0.60295	0.97086	0.055661	0.16486
Nostrin	4	0.14402	0.48656	0.26831	0.71706	0.62657	0.99994	-0.088194	-0.29002	0.25184	0.89761	0.7718	1	-0.32215	-1.0556	0.97006	0.99908	0.29114	0.49077
Pabpn1	4	-1.1917	-1.9653	0.0015756	0.023503	0.049374	0.60488	-0.057069	-0.091298	0.52086	0.97267	0.92726	1	0.13963	0.22342	0.16503	0.91028	0.82321	0.91646
Ercc6	4	0.23855	0.73279	0.06587	0.34615	0.46369	0.99994	0.036702	0.10993	0.33748	0.93547	0.91246	1	-0.1778	-0.53182	0.69753	0.98021	0.59485	0.76112
Amigo3	4	-0.026785	-0.1607	0.99731	0.99954	0.87233	0.99994	-0.044429	-0.26102	0.66516	0.98741	0.79408	1	0.15885	0.9337	0.14841	0.90229	0.35046	0.55026
Mertk	4	-0.048218	-0.22523	0.91593	0.99207	0.8218	0.99994	0.08828	0.40446	0.063939	0.61445	0.68588	1	0.13448	0.61611	0.16956	0.91098	0.53782	0.716
Tmc2	4	0.23314	1.1459	0.07263	0.36742	0.25184	0.99994	0.00013841	0.00066579	0.73997	0.98741	0.99947	1	-0.28317	-1.3614	0.94043	0.99908	0.1734	0.35101
Tsen15	4	-0.73544	-1.5042	0.022313	0.17256	0.13253	0.99994	0.047245	0.09359	0.25296	0.89805	0.92544	1	-0.48581	-0.95902	0.61443	0.9723	0.33755	0.53793
Gm5878	4	0.070584	0.42342	0.55629	0.9128	0.67199	0.99994	-0.04299	-0.25268	0.68076	0.98741	0.80052	1	-0.10074	-0.59185	0.53047	0.96626	0.55395	0.72804
Rpl41	4	-0.69556	-1.2622	0.027853	0.20029	0.20689	0.99994	0.07668	0.13554	0.097687	0.7118	0.89218	1	-0.50514	-0.8907	0.57901	0.96858	0.37309	0.57214
Nf1	4	0.64762	0.16904	5.0826e-05	0.0026954	0.86577	0.99994	0.1172	0.028319	0.01845	0.34372	0.97741	1	1.8271	0.44573	0.00071156	0.18667	0.65579	0.80474
Ffar4	4	0.054447	0.14149	0.62994	0.93816	0.88748	0.99994	-0.055264	-0.13969	0.53901	0.97663	0.88891	1	0.26585	0.67304	0.075019	0.78804	0.50092	0.68635
Trim35	4	-0.13022	-0.67079	0.63278	0.93891	0.50235	0.99994	0.091637	0.46276	0.055604	0.57889	0.64354	1	-0.53796	-2.7131	0.52163	0.96626	0.0066658	0.041503
Rce1	4	0.22484	0.83554	0.082694	0.3949	0.40341	0.99994	0.0072568	0.026399	0.65047	0.98741	0.97894	1	-0.35945	-1.3067	0.8833	0.99823	0.1913	0.37381
Slc17a3	4	0.018023	0.15164	0.79939	0.97557	0.87947	0.99994	0.022886	0.18867	0.46994	0.96838	0.85035	1	0.0089509	0.073791	0.32991	0.93533	0.94118	0.98653
Gprc5b	4	0.098207	0.3714	0.4368	0.84862	0.71034	0.99994	0.0048398	0.017863	0.68086	0.98741	0.98575	1	0.33427	1.2347	0.047471	0.73891	0.21696	0.40658
Cxxc5	4	-0.014091	-0.04078	0.94257	0.99254	0.96747	0.99994	-0.0088065	-0.024979	0.86389	0.99062	0.98007	1	-0.22061	-0.62525	0.797	0.99078	0.5318	0.71167
Sdf2l1	4	0.026943	0.18623	0.75817	0.96638	0.85226	0.99994	0.01655	0.1123	0.53911	0.97663	0.91059	1	-0.060311	-0.40915	0.45154	0.95755	0.68243	0.82417
Phb2	4	-2.827	-5.7118	0	0	1.1175e-08	3.4454e-05	-0.0070781	-0.014123	0.83827	0.9876	0.98873	1	-1.7783e-05	-3.5439e-05	0.34348	0.93533	0.99997	1
Cyp24a1	4	0.071341	0.49978	0.55253	0.91047	0.61723	0.99994	-0.069336	-0.47358	0.3941	0.94688	0.6358	1	-0.47247	-3.209	0.64071	0.97668	0.001332	0.01484
Ptcd2	4	-0.58238	-1.7341	0.05291	0.3035	0.082899	0.8544	-0.18018	-0.52427	0.015604	0.3101	0.60009	1	-0.058003	-0.16863	0.44686	0.957	0.86608	0.94379
Trim67	4	-0.01996	-0.076739	0.96757	0.99406	0.93883	0.99994	-0.096033	-0.36128	0.20391	0.85155	0.71789	1	0.11467	0.43136	0.1905	0.92481	0.6662	0.81212
Cox8b	4	0.0081923	0.05635	0.84559	0.98421	0.95506	0.99994	0.0026426	0.017875	0.7076	0.98741	0.98574	1	-0.016101	-0.1089	0.37093	0.94249	0.91328	0.97071
Tmed9	4	-0.050839	-0.19137	0.90673	0.99092	0.84824	0.99994	-0.041335	-0.15188	0.7014	0.98741	0.87928	1	0.35476	1.3047	0.040966	0.71965	0.19201	0.37471
Me3	4	0.034324	0.23328	0.72376	0.95808	0.81555	0.99994	0.061895	0.41265	0.16168	0.80857	0.67987	1	-0.49635	-3.305	0.59487	0.97041	0.00094974	0.012144
Nefl	4	0.073049	0.28229	0.5446	0.90702	0.77772	0.99994	-0.18886	-0.71509	0.012046	0.27179	0.47455	1	-0.21867	-0.82665	0.79294	0.98992	0.40844	0.6057
Pcdhgb5	4	0.064866	0.52617	0.58226	0.92234	0.59877	0.99994	0.0087134	0.06951	0.63222	0.98614	0.94458	1	-0.32708	-2.609	0.95837	0.99908	0.0090804	0.050813
Ttc1	4	-1.0605	-2.2868	0.0034053	0.04331	0.02221	0.3377	-0.0024816	-0.0052556	0.77484	0.98741	0.99581	1	-1.1189	-2.3702	0.047471	0.73891	0.017777	0.077692
Calcoco2	4	-0.096053	-0.3154	0.74099	0.96199	0.75246	0.99994	0.0096493	0.031126	0.62089	0.98614	0.97517	1	-0.11239	-0.36246	0.55436	0.96858	0.71701	0.84814
Ucn	4	-0.11304	-0.41943	0.68493	0.94979	0.6749	0.99994	0.095864	0.34901	0.047929	0.54857	0.72708	1	-0.41153	-1.4965	0.76773	0.98651	0.13451	0.2964
Itgbl1	4	0.17203	0.61296	0.18922	0.61721	0.5399	0.99994	-0.068346	-0.23858	0.40483	0.95463	0.81143	1	-0.74763	-2.6071	0.24264	0.93533	0.0091304	0.05099
Ostm1	4	-0.22065	-0.86395	0.40752	0.83183	0.38761	0.99994	0.054848	0.21118	0.20239	0.85155	0.83275	1	-0.35098	-1.3507	0.90328	0.99908	0.17678	0.35539
Scand1	4	-0.038168	-0.2187	0.95558	0.99289	0.82689	0.99994	0.072486	0.4078	0.11431	0.74908	0.68342	1	-0.41037	-2.3068	0.77057	0.98688	0.021068	0.087139
Pabpc1l	4	0.031114	0.20972	0.7383	0.96156	0.83389	0.99994	-0.029587	-0.19468	0.85179	0.9892	0.84565	1	-0.42886	-2.8123	0.73139	0.98428	0.0049191	0.03426
Tbxa2r	4	-0.09044	-0.38071	0.76122	0.96736	0.70342	0.99994	0.037506	0.15485	0.32996	0.93425	0.87694	1	-0.47144	-1.9438	0.64244	0.97668	0.051914	0.15739
Hist1h2bn	4	-2.6863	-5.4571	0	0	4.8411e-08	3.4491e-05	-0.0067271	-0.013492	0.83349	0.98741	0.98924	1	-1.6902e-05	-3.3856e-05	0.34348	0.93533	0.99997	1
